DGRP	sex	mean_frac	mean_ls	mean_ns_frac	mean_ns_ls	cohen.d_frac	p.value_frac	cohen.d_ls	p.value_ls	LSM_frac	LSM_frac_se	LSM_ls	LSM_ls_se	KL_frac	KL_ls	en_s_frac	en_ns_frac	en_s_ls	en_ns_ls
DGRP_627	M	0.245057244860273	0.191920095861771	0.241677072158421	-0.362621218785293	-0.0334240972600211	0.928145141192981	-0.241187621979658	0.504281606437912	0.0212846660339955	0.030617994246825	0.180399039845088	0.528530896205646	0.365673808579205	0.421987012757958	1.04375703633141	0.796311640173813	1.50659508813164	1.24401669579289
DGRP_627	F	0.252435471295498	0.121267642259837	0.323772005416718	-0.317652764939526	0.581714686592058	0.126732507157101	-0.198761413154129	0.578934357618711	0.0577071399845719	0.0316972868175143	0.180399039845088	0.528530896205646	2.49444884571286	3.90621438069944	1.26541309651417	0.983273944246389	1.16269983349757	1.24501688925244
DGRP_440	NA	0.213536399884902	0.451222062225032	0.311542730299667	-0.348511263374287	0.778067107550731	0.00412641373285644	-0.384507548650023	0.132482457730633	0.0435007050681899	0.0222241093240147	0.347924937266498	0.527983402248527	2.38948004906686	1.08109134549673	1.85846201392466	1.62837975496258	2.10618377785189	1.81800028300398
DGRP_440	M	0.22773307436182	0.0899685101150599	0.297669256381798	-0.73188265826184	0.58107375133509	0.113014530337943	-0.474436012059514	0.189694947770924	0.0349432538317106	0.0296725115713026	0.347924937266498	0.527983402248527	0.400857428851779	0.188302358841058	1.25115598336363	1.08325501051851	1.4201164366885	1.5437891850589
DGRP_440	F	0.197311629054137	0.836559184475669	0.325416204217536	0.0348601315132663	0.953393594688155	0.0190447117225252	-0.33626177973537	0.358402701918598	0.0562349527098954	0.0325414342808347	0.347924937266498	0.527983402248527	0.638847735281848	1.91798066021881	1.19734013399678	1.0625354080616	1.58678470752805	1.16269983349757
DGRP_563	NA	0.183568362967505	0.0486477073358056	0.280425097077458	-0.0223486111365216	1.1279928356097	7.93013129395677e-05	-0.0443037778635578	0.865564651680269	0.0644116013952363	0.0222466125079687	-0.478171351461012	0.542003335855857	1.93273257980652	2.94390560704787	1.63334423991518	1.34987904475513	2.01376604651246	1.99316760775092
DGRP_563	M	0.192969548334355	-0.0316142763576917	0.259365419987738	0.162819715226698	0.738333441808747	0.0526312691848114	0.144109568542258	0.690536771488587	0.0482779676451458	0.0291911914591034	-0.478171351461012	0.542003335855857	0.517480603808622	0.0670230251372827	0.990835386443849	0.864740096527637	1.6094379124341	1.5437891850589
DGRP_563	F	0.173495664360165	0.134642689864553	0.304493299465709	-0.219861492590622	1.63065428197667	0.000339513301765708	-0.189172654285108	0.621205606411862	0.0746608068186127	0.0332019587686376	-0.478171351461012	0.542003335855857	4.3259525436817	1.33524526887212	1.00424247305408	0.693147180559945	1.43770144364294	1.30952583530407
DGRP_911	NA	0.260320232254967	0.523966110500071	0.264274461028192	-0.591459122295844	0.0293000886342145	0.910126988565145	-0.620156165503249	0.016224779469597	-0.0157446819617968	0.02221167638069	0.619140109929455	0.523995963955716	2.75344105399511	0.159259907925029	1.90563862718656	1.33749071212297	2.14456015335592	2.09187655953073
DGRP_911	M	0.229640858208955	0.149668303937136	0.25303171641791	-0.833776623963637	0.22962258406833	0.521596214687155	-0.572724642475259	0.117727619951309	0.0108018891169217	0.0291905519967113	0.619140109929455	0.523995963955716	0.592849995276838	0.265103474111249	1.18030455699462	0.735621939758795	1.51108617607361	1.2996509635499
DGRP_911	F	0.295382374021837	0.898263917063007	0.277123312011372	-0.34914162062805	-0.110613619983205	0.772675471301264	-0.664386740811562	0.0708727297643478	-0.0505402217680006	0.0330757730833715	0.619140109929455	0.523995963955716	1.70609880914257	0.16237542109625	1.49440321137961	0.991138896613094	1.39173976951833	1.4740568252732
DGRP_227	NA	0.197268220880144	1.56578714689323	0.321222012973425	-0.0468074025608307	0.961658815838375	0.000506708244069855	-0.603336744807432	0.0213429102717753	0.0770241167763168	0.0221958007020189	1.17895064674974	0.532053411723247	2.02563784643148	0.263697230319403	1.8090663250718	1.82588618664175	1.85381209850699	2.08338706127324
DGRP_227	M	0.189783427495292	1.62677636036303	0.326498744507219	-0.13000574573811	0.98455913295314	0.00934468546193925	-0.612105927923127	0.0960850025349907	0.105211171140763	0.0291278660236238	1.17895064674974	0.532053411723247	0.940728212156018	0.222628714912399	1.10343290963819	1.36868963762284	1.0337005498525	1.2130075659799
DGRP_227	F	0.206480274276885	1.50073198585878	0.31519146264909	0.0419374968282674	0.89897025667019	0.0325956602921148	-0.57351142607806	0.12882302688637	0.0428029910073583	0.033122292532668	1.17895064674974	0.532053411723247	2.20390511598926	0.0586767790172188	1.20479330969478	0.830471712436292	1.54728673334095	1.45948187386908
DGRP_319	NA	0.23771951936812	0.282410619845313	0.276590202503991	-0.468256334394073	0.374476321969875	0.152806502240181	-0.286016799022191	0.257734764322398	0.0106697729501026	0.0221829057043061	0.473679390926177	0.5238544815473	1.28178266866227	0.110506379829136	1.74575996624469	1.47424613064637	1.54582562124519	1.47819699580517
DGRP_319	M	0.277988719435342	-0.808078604503497	0.274270544492059	-0.528697565854568	-0.0375055604468787	0.91622415740178	0.182012986728613	0.610573659197519	-0.0256899913092169	0.0291393953742032	0.473679390926177	0.5238544815473	0.139915695879494	0.120026245726124	1.16269983349757	0.98689944883853	1.49417513828931	1.24934323106756
